,rank_2020,company,sales_2020,profits_2020,assets_2020,market_value_2020
1052,#1053,Bank Negara Indonesia,$5.4 B,$1.1 B,$60.9 B,$5.1 B
1053,#1053,Terumo,$5.7 B,$824 M,$10.9 B,$25.1 B
1054,#1055,Bank of Greece,$1.3 B,$943 M,$122.5 B,$286 M
1055,#1056,Eastman Chemical,$9.1 B,$808 M,$16 B,$8.2 B
1056,#1057,Quest Diagnostics,$7.7 B,$791 M,$12 B,$14.7 B
1057,#1058,J Sainsbury,$37 B,$165 M,$35.7 B,$5.5 B
1058,#1059,Shanghai Electric Group,$15.1 B,$447 M,$37.1 B,$4.7 B
1059,#1060,Grasim Industries,$11 B,$576 M,$34.7 B,$4.4 B
1060,#1061,Eisai,$6.1 B,$887 M,$9.7 B,$20.2 B
1061,#1062,Jefferies Financial,$5.7 B,$1 B,$51.8 B,$3.7 B
1062,#1063,Bank of Baroda,$12.1 B,$-50 M,$159.3 B,$3 B
1063,#1064,Rockwell Automation,$6.8 B,$712 M,$6.7 B,$21.9 B
1064,#1065,Ashtead Group,$6.4 B,$1 B,$13.4 B,$12.3 B
1065,#1066,Jiangsu Hengrui Medicine,$3.4 B,$782 M,$4.1 B,$58 B
1066,#1066,Rongsheng Petrochemical,$11.9 B,$319 M,$26.2 B,$10.6 B
1067,#1068,Advanced Info Service,$5.8 B,$1 B,$9.7 B,$18.2 B
1068,#1069,Tokyo Century,$10.2 B,$476 M,$50.1 B,$4.2 B
1069,#1070,Align Technology,$2.4 B,$1.9 B,$4 B,$16.9 B
1070,#1071,Charoen Pokphand Foods,$17.2 B,$575 M,$21.2 B,$4.8 B
1071,#1072,Beijing Enterprises,$8.7 B,$1 B,$23.8 B,$4.5 B
1072,#1073,Foshan Haitian Flavouring and Food,$2.9 B,$788 M,$3.6 B,$47.1 B
1073,#1074,Yuanta Financial Holding,$4.1 B,$661 M,$80.5 B,$6.7 B
1074,#1075,Mediobanca,$3.4 B,$940 M,$92.6 B,$5 B
1075,#1075,Swatch Group,$8.3 B,$735 M,$14.1 B,$10.3 B
1076,#1077,Julius Baer Group,$4.1 B,$468 M,$105.4 B,$8.5 B
1077,#1078,Lundbergs,$2.7 B,$1.3 B,$18.7 B,$10.5 B
1078,#1079,Hua Nan Financial,$2.7 B,$516 M,$91.1 B,$8 B
1079,#1080,Paychex,$4.1 B,$1.1 B,$9.5 B,$24.6 B
1080,#1080,Terna,$2.6 B,$848 M,$20.3 B,$12.6 B
1081,#1082,Yango Group,$8.3 B,$595 M,$45.9 B,$4 B
1082,#1083,GD Power Development,$16.6 B,$270 M,$52.4 B,$5.5 B
1083,#1084,LabCorp,$11.6 B,$321 M,$17.3 B,$16 B
1084,#1085,Sun Art Retail Group,$13.8 B,$412 M,$10.2 B,$15.9 B
1085,#1086,Jeronimo Martins,$20.9 B,$436 M,$10.9 B,$10.6 B
1086,#1087,Fanuc,$4.7 B,$675 M,$14 B,$32 B
1087,#1088,Marvell Technology Group,$2.7 B,$1.6 B,$11.1 B,$17.7 B
1088,#1089,China Resources Pharmaceutical Group,$26.1 B,$419 M,$24.4 B,$4 B
1089,#1090,ServiceNow,$3.7 B,$677 M,$6.2 B,$67 B
1090,#1091,Lear,$19.8 B,$790 M,$12.7 B,$5.8 B
1091,#1092,Delta Electronics,$8.8 B,$710 M,$10.1 B,$12.2 B
1092,#1093,Markel,$8.1 B,$-193 M,$34.8 B,$11.9 B
1093,#1094,TUI,$21.6 B,$506 M,$20.1 B,$2.4 B
1094,#1095,Inter Rao,$16 B,$1.3 B,$12.4 B,$5 B
1095,#1096,Air France-KLM,$30.4 B,$325 M,$34.5 B,$2.2 B
1096,#1097,Falabella,$13.4 B,$420 M,$24.4 B,$6.8 B
1097,#1098,SDIC Power Holdings,$5.6 B,$744 M,$31.1 B,$7.4 B
1098,#1099,Hankyu Hanshin Holdings,$7.3 B,$602 M,$22.9 B,$8.4 B
1099,#1100,Universal Health,$11.4 B,$721 M,$11.6 B,$9 B
1100,#1100,Yum China Holdings,$8.2 B,$553 M,$6.6 B,$18.2 B
1101,#1102,UCB,$5.5 B,$886 M,$12.4 B,$17.3 B
1102,#1103,Metro,$12.9 B,$551 M,$9.2 B,$10.5 B
1103,#1104,Mylan,$11.5 B,$17 M,$31.3 B,$8.7 B
1104,#1104,PulteGroup,$10.5 B,$1 B,$11.4 B,$7.6 B
1105,#1106,CJ Corporation,$29 B,$229 M,$34.9 B,$1.9 B
1106,#1107,Investec,$5.8 B,$647 M,$73.6 B,$2 B
1107,#1107,Knorr-Bremse,$7.8 B,$659 M,$7.9 B,$15 B
1108,#1107,Sojitz,$16.1 B,$559 M,$20.7 B,$2.9 B
1109,#1110,Vipshop Holdings,$13.5 B,$580 M,$7 B,$9.4 B
1110,#1111,Altice Europe,$16.6 B,$275 M,$53 B,$4.8 B
1111,#1112,Textron,$13.3 B,$686 M,$15.9 B,$6 B
1112,#1113,Brown-Forman,$3.4 B,$858 M,$5.5 B,$29.7 B
1113,#1114,Assurant,$10.1 B,$383 M,$44.3 B,$6.4 B
1114,#1115,Ferrovial,$6.8 B,$300 M,$27.1 B,$18.3 B
1115,#1116,JSW Steel,$11 B,$756 M,$17.7 B,$5.8 B
1116,#1117,Olympus,$7.4 B,$557 M,$9.1 B,$20.7 B
1117,#1118,Bank of Ireland,$7.1 B,$432 M,$148 B,$2.2 B
1118,#1119,Lotte Chemical,$13 B,$613 M,$17.3 B,$6.1 B
1119,#1120,LG Household & Health Care,$6.5 B,$667 M,$5.4 B,$19.1 B
1120,#1121,AES,$10.2 B,$302 M,$33.6 B,$8.8 B
1121,#1121,Bank Of Guiyang,$4.2 B,$862 M,$79.6 B,$3.6 B
1122,#1121,Kyushu Electric Power,$18.5 B,$-4 M,$45.8 B,$3.8 B
1123,#1124,Alinma Bank,$1.8 B,$695 M,$35.1 B,$8.4 B
1124,#1125,Crown Holdings,$11.7 B,$495 M,$15.5 B,$8.7 B
1125,#1126,China Steel,$11.8 B,$285 M,$22.2 B,$10.4 B
1126,#1127,Cadence Design,$2.4 B,$992 M,$3.8 B,$22.7 B
1127,#1128,Kohl's,$20 B,$691 M,$14.6 B,$2.9 B
1128,#1129,Bank of Tianjin,$5.2 B,$663 M,$96.1 B,$2.6 B
1129,#1129,Shenzhen Mindray Bio-Medical Electronics,$2.4 B,$677 M,$3.7 B,$44.2 B
1130,#1131,Vienna Insurance Group,$11.6 B,$371 M,$55.1 B,$2.6 B
1131,#1132,Agilent Technologies,$5.2 B,$764 M,$9.5 B,$23.7 B
1132,#1133,Cosco Shipping,$21.8 B,$-13 M,$37.6 B,$3.5 B
1133,#1134,Airports of Thailand,$2 B,$837 M,$6.7 B,$27.5 B
1134,#1135,Jiangsu Yanghe Brewery,$2.7 B,$1.1 B,$7.3 B,$21 B
1135,#1136,Fastenal,$5.4 B,$799 M,$3.9 B,$20.7 B
1136,#1137,All Nippon Airways,$18.2 B,$254 M,$23.7 B,$7.2 B
1137,#1138,Attijariwafa Bank,$4.3 B,$605 M,$55.7 B,$7.1 B
1138,#1138,X5 Retail Group,$26.8 B,$302 M,$17.3 B,$8 B
1139,#1140,SGS,$6.6 B,$664 M,$6.5 B,$17.1 B
1140,#1141,LG,$5.2 B,$935 M,$19.4 B,$8.9 B
1141,#1142,C.H. Robinson,$15.4 B,$493 M,$4.8 B,$9.3 B
1142,#1143,Dover,$7.1 B,$749 M,$8.9 B,$13.5 B
1143,#1144,Csc Financial,$2.9 B,$742 M,$41 B,$7.1 B
1144,#1144,Interpublic Group,$10.2 B,$669 M,$16.4 B,$6.6 B
1145,#1146,Dassault Aviation,$8.3 B,$798 M,$17.3 B,$6.8 B
1146,#1147,NVR,$7.2 B,$866 M,$3.9 B,$11.4 B
1147,#1148,Origin Energy,$9.6 B,$705 M,$17.2 B,$6.4 B
1148,#1149,Ferrari,$4.2 B,$779 M,$6.1 B,$27.7 B
1149,#1149,Waste Connections,$5.4 B,$567 M,$13.8 B,$22.8 B
1150,#1151,Bio-Rad Laboratories,$2.3 B,$1.8 B,$8 B,$13.2 B
1151,#1152,China Aoyuan Group,$7.3 B,$609 M,$41.6 B,$3.2 B
1152,#1153,FleetCor Technologies,$2.6 B,$895 M,$12.2 B,$20.6 B
1153,#1154,Comerica,$3.6 B,$789 M,$76.3 B,$4.8 B
1154,#1155,Singapore Airlines,$12.4 B,$530 M,$24.3 B,$5.1 B
1155,#1156,Experian,$5 B,$727 M,$8.6 B,$27 B
1156,#1157,Kaisa Group Holdings,$6.9 B,$668 M,$38.9 B,$2.3 B
1157,#1158,Molson Coors Brewing,$10.4 B,$-27 M,$28.5 B,$8.9 B
1158,#1159,AerCap Holdings,$4.9 B,$1.1 B,$43.7 B,$3.7 B
1159,#1159,Inner Mongolia Baotou Steel,$10.1 B,$502 M,$20.1 B,$7 B
1160,#1161,Ametek,$5.2 B,$861 M,$9.8 B,$19.2 B
1161,#1162,Shionogi,$3.2 B,$1.2 B,$7 B,$16.7 B
1162,#1163,NASDAQ,$4.6 B,$729 M,$14.8 B,$18.1 B
1163,#1164,Shenwan Hongyuan Group,$4.6 B,$841 M,$58.7 B,$5.4 B
1164,#1165,Bank of Changsha,$4.2 B,$735 M,$86.4 B,$3.8 B
1165,#1166,Techtronic Industries,$7.7 B,$615 M,$7.7 B,$13.9 B
1166,#1167,Huadian Power International,$13.1 B,$412 M,$33.3 B,$3.4 B
1167,#1168,Aluminum Corp of China,$27.5 B,$93 M,$29.2 B,$3.6 B
1168,#1168,Korea Gas,$21.4 B,$31 M,$34 B,$1.9 B
1169,#1170,Top Frontier Investment Holdings,$19.5 B,$207 M,$36.2 B,$930 M
1170,#1171,Bank Of Chengdu,$3.2 B,$765 M,$76.1 B,$4 B
1171,#1172,Mitsubishi Motors,$21.9 B,$477 M,$17.7 B,$4.2 B
1172,#1172,Scentre Group,$1.8 B,$820 M,$28 B,$7.9 B
1173,#1174,Partners Group Holding,$1.8 B,$906 M,$4.1 B,$20.8 B
1174,#1175,LKQ,$12.4 B,$588 M,$12.4 B,$8 B
1175,#1175,VeriSign,$1.2 B,$784 M,$1.8 B,$24.2 B
1176,#1177,Ulta Beauty,$7.4 B,$706 M,$5.5 B,$12.3 B
1177,#1178,Globe Life,$4.6 B,$741 M,$26 B,$8.8 B
1178,#1179,Brighthouse Financial,$8.3 B,$-740 M,$228.8 B,$2.5 B
1179,#1180,Longi Green Energy Technology,$5.1 B,$938 M,$8.9 B,$16.5 B
1180,#1181,LARGAN Precision,$2.1 B,$974 M,$5.4 B,$18.5 B
1181,#1182,Campbell Soup,$8.3 B,$508 M,$11.7 B,$15.1 B
1182,#1182,McCormick,$5.3 B,$699 M,$10.5 B,$20.8 B
1183,#1184,Anta Sports Products,$4.9 B,$773 M,$5.9 B,$22.7 B
1184,#1185,MTN Group,$10.5 B,$620 M,$21.6 B,$4.8 B
1185,#1186,Solvay,$12.6 B,$133 M,$23.9 B,$8.1 B
1186,#1187,Nitori Holdings,$5.9 B,$655 M,$6.3 B,$17.4 B
1187,#1188,Schroders,$3.3 B,$630 M,$28.2 B,$9.2 B
1188,#1189,Mondi,$8.1 B,$908 M,$9.6 B,$8.6 B
1189,#1190,HollyFrontier,$17.5 B,$771 M,$12.2 B,$5.3 B
1190,#1191,GS Holdings,$15.1 B,$467 M,$21.4 B,$3 B
1191,#1191,Quilter,$10 B,$55 M,$84.4 B,$2.8 B
1192,#1191,Ricoh,$18.5 B,$370 M,$26.4 B,$5 B
1193,#1194,China International Capital,$4.2 B,$604 M,$49.5 B,$6.7 B
1194,#1194,Galp Energia,$18.6 B,$157 M,$15 B,$9.6 B
1195,#1196,Centrica,$28.9 B,$-1.3 B,$25.7 B,$2.9 B
1196,#1197,Punjab National Bank,$8.9 B,$-476 M,$117.5 B,$2.9 B
1197,#1198,Yamaha Motor,$15.3 B,$695 M,$14.1 B,$4.6 B
1198,#1199,Db Insurance,$13.1 B,$324 M,$47.6 B,$2.3 B
1199,#1200,Franklin Resources,$5.5 B,$971 M,$14.7 B,$9.4 B
1200,#1201,Expeditors International,$8.2 B,$590 M,$3.8 B,$12 B
1201,#1202,Wolters Kluwer,$5.2 B,$749 M,$9.9 B,$19.6 B
1202,#1203,Xilinx,$3.2 B,$793 M,$4.7 B,$21.7 B
1203,#1204,Oriental Land,$4.3 B,$572 M,$9.4 B,$41.9 B
1204,#1205,Goodman Group,$1.1 B,$1 B,$10.8 B,$15.7 B
1205,#1206,Tractor Supply,$8.5 B,$569 M,$6 B,$11.8 B
1206,#1207,Oji Holdings,$13.9 B,$555 M,$17.8 B,$5.1 B
1207,#1208,Invesco,$6.5 B,$651 M,$37 B,$4 B
1208,#1209,Lululemon Athletica,$4 B,$646 M,$3.3 B,$29.2 B
1209,#1210,Samsung SDI,$8.6 B,$260 M,$17.2 B,$15.7 B
1210,#1211,Zhongliang Holdings,$8.2 B,$551 M,$32.2 B,$2.6 B
1211,#1212,Bankinter,$2.6 B,$616 M,$94 B,$3.7 B
1212,#1212,Meiji Holdings,$11.5 B,$481 M,$9.5 B,$10.1 B
1213,#1214,Hesteel,$16.5 B,$347 M,$30 B,$3 B
1214,#1215,Coloplast,$2.7 B,$596 M,$2 B,$33.6 B
1215,#1216,KWG Group Holdings,$3.6 B,$1.4 B,$30.8 B,$4.7 B
1216,#1217,DXC Technology,$20 B,$-1.6 B,$29.6 B,$4.6 B
1217,#1218,Jiangxi Copper,$34.6 B,$354 M,$19.4 B,$3.4 B
1218,#1219,China Resources Gas Group,$7.1 B,$644 M,$10.4 B,$12.3 B
1219,#1219,Darden Restaurants,$8.8 B,$636 M,$10 B,$9.6 B
1220,#1221,Aeroports de Paris,$5.3 B,$658 M,$18.9 B,$9.7 B
1221,#1222,Garmin,$3.8 B,$974 M,$6.1 B,$15.5 B
1222,#1223,Hydro One,$4.9 B,$600 M,$20.9 B,$10.9 B
1223,#1224,Datang International Power,$13.6 B,$60 M,$40.5 B,$2.7 B
1224,#1225,Daito Trust Construction,$14.3 B,$714 M,$7.2 B,$6 B
1225,#1226,LG Display,$18.9 B,$-2.5 B,$29.5 B,$3.2 B
1226,#1227,Howmet Aerospace,$14.2 B,$470 M,$17.6 B,$5.7 B
1227,#1228,Storebrand,$9.6 B,$235 M,$72 B,$2.3 B
1228,#1229,Valeo,$21.8 B,$350 M,$21.2 B,$5.5 B
1229,#1230,AntarChile,$23.7 B,$108 M,$25.5 B,$3.1 B
1230,#1231,Bunge,$41.1 B,$-1.3 B,$18.3 B,$5.6 B
1231,#1232,Segro,$552 M,$1.1 B,$13.4 B,$11.5 B
1232,#1233,NEXON,$2.3 B,$1.1 B,$6.6 B,$14.1 B
1233,#1234,Ayala Corp,$5.1 B,$681 M,$26.6 B,$7.2 B
1234,#1235,Skyworks Solutions,$3.3 B,$826 M,$5.1 B,$17.6 B
1235,#1236,360 Security Technology,$1.8 B,$817 M,$4.7 B,$17.9 B
1236,#1237,Canara Bank,$8.3 B,$104 M,$103.2 B,$1.7 B
1237,#1238,Arista Networks,$2.4 B,$860 M,$4.2 B,$16.6 B
1238,#1238,Naver,$5.8 B,$497 M,$10.6 B,$23.5 B
1239,#1240,Saputo,$10.9 B,$466 M,$10.2 B,$10.3 B
1240,#1241,Shanghai Commercial & Savings Bank,$2 B,$474 M,$69.2 B,$6.6 B
1241,#1242,Bankia,$4 B,$479 M,$229.8 B,$3.1 B
1242,#1243,Insurance Australia Group,$5.5 B,$598 M,$20.4 B,$8.7 B
1243,#1244,Ahli United Bank,$2.1 B,$695 M,$40.3 B,$6.1 B
1244,#1244,Transurban Group,$2.8 B,$161 M,$25.4 B,$24.7 B
1245,#1246,Olam International,$24.2 B,$373 M,$19.1 B,$3.4 B
1246,#1247,Halkbank,$9 B,$253 M,$76.3 B,$930 M
1247,#1247,Mohawk Industries,$10 B,$744 M,$13.4 B,$6.2 B
1248,#1249,Hexagon,$4.3 B,$766 M,$11.8 B,$18.3 B
1249,#1250,AGC,$13.9 B,$408 M,$21.5 B,$5.6 B
1250,#1250,J.B. Hunt Transport Services,$9.4 B,$502 M,$5.4 B,$10.7 B
1251,#1252,Zions Bancorp,$3.2 B,$614 M,$71.5 B,$5.2 B
1252,#1253,Hess,$6.5 B,$-408 M,$21.8 B,$14.9 B
1253,#1254,Power Assets Holdings,$172 M,$910 M,$12 B,$14.3 B
1254,#1255,Jones Lang LaSalle,$18 B,$535 M,$13.7 B,$5.5 B
1255,#1255,OMRON,$6.2 B,$698 M,$7 B,$12 B
1256,#1257,GAIL India,$10.9 B,$936 M,$9.9 B,$5.8 B
1257,#1258,Annaly Capital Management,$2.3 B,$-5 B,$96.9 B,$8.9 B
1258,#1258,HNA Technology,$47.3 B,$76 M,$18.3 B,$1.2 B
1259,#1258,Masraf Al Rayan,$1 B,$599 M,$30 B,$7.9 B
1260,#1261,Realty Income,$1.5 B,$437 M,$18.6 B,$18.9 B
1261,#1262,KPN,$6.2 B,$687 M,$13.8 B,$9.7 B
1262,#1263,Wuchan Zhongda Group,$51 B,$350 M,$16 B,$3.4 B
1263,#1264,Midea Real Estate Holding,$6 B,$621 M,$35.8 B,$3.1 B
1264,#1264,Sasol,$13.8 B,$-442 M,$34.8 B,$2.9 B
1265,#1266,Cosmo Energy Holdings,$24.9 B,$402 M,$16.6 B,$1.3 B
1266,#1267,Citrix Systems,$3.2 B,$753 M,$4.3 B,$17.9 B
1267,#1267,Copart,$2.2 B,$733 M,$3 B,$18.7 B
1268,#1269,Cerner,$5.7 B,$510 M,$6.7 B,$21.1 B
1269,#1270,Wm Morrison Supermarkets,$22.4 B,$445 M,$14.4 B,$5.5 B
1270,#1271,Umicore,$19.6 B,$322 M,$8 B,$10.4 B
1271,#1272,Brenntag,$14.4 B,$522 M,$9.8 B,$7 B
1272,#1273,Metro Group,$29.8 B,$-405 M,$20.4 B,$3.2 B
1273,#1274,Check Point Software,$2 B,$824 M,$5.6 B,$15.4 B
1274,#1275,Banca Mediolanum,$4.3 B,$633 M,$59.9 B,$4.5 B
1275,#1275,Kintetsu,$11.3 B,$307 M,$17.9 B,$9.2 B
1276,#1277,Hyundai Steel,$17 B,$-179 M,$27.9 B,$2.3 B
1277,#1278,Bank of Jinzhou,$7.5 B,$-165 M,$120.1 B,$2.2 B
1278,#1279,Popular,$2.9 B,$671 M,$52.1 B,$3.4 B
1279,#1280,Yonghui Superstores,$13.2 B,$288 M,$7.4 B,$13.6 B
1280,#1281,China Galaxy Securities,$3 B,$757 M,$45.3 B,$5.2 B
1281,#1282,Shenzhou International Group Holdings,$3.3 B,$737 M,$4.6 B,$17.5 B
1282,#1283,Fidelity National Financial,$8.4 B,$795 M,$10.2 B,$7.4 B
1283,#1283,NetApp,$5.6 B,$1 B,$7.5 B,$9.7 B
1284,#1285,Hyundai Marine & Fire,$11.9 B,$214 M,$39.2 B,$1.7 B
1285,#1286,Emera,$4.4 B,$534 M,$24.6 B,$9.7 B
1286,#1287,3i Group,$463 M,$1.6 B,$11.4 B,$9.6 B
1287,#1288,Lotte Shopping,$15.1 B,$-780 M,$29.4 B,$2.3 B
1288,#1289,Melrose Industries,$14 B,$-50 M,$23.9 B,$6.1 B
1289,#1290,Bank of Chongqing,$3.6 B,$567 M,$72 B,$1.7 B
1290,#1291,Mahindra & Mahindra,$14.5 B,$291 M,$23.5 B,$6.1 B
1291,#1292,TCL,$8.5 B,$323 M,$24.4 B,$8.9 B
1292,#1293,Korea Investment Holdings,$2.6 B,$652 M,$52.5 B,$2.4 B
1293,#1294,BCI-Banco Credito,$3.8 B,$572 M,$66.9 B,$5.3 B
1294,#1295,RHB Bank,$2.8 B,$599 M,$63 B,$4.4 B
1295,#1296,ALFA,$17.2 B,$412 M,$18.2 B,$2.1 B
1296,#1296,Unicharm,$6.6 B,$423 M,$8 B,$22 B
1297,#1298,Maxim Integrated Products,$2.2 B,$815 M,$3.5 B,$14.8 B
1298,#1299,Shinsei Bank,$2.8 B,$512 M,$93.1 B,$2.9 B
1299,#1300,Signature Bank,$2 B,$543 M,$53.1 B,$5.9 B
1300,#1301,Penske Automotive,$23.2 B,$436 M,$14.6 B,$2.9 B
1301,#1302,Concordia Financial Group,$2.8 B,$446 M,$175.2 B,$3.6 B
1302,#1302,Hyundai Heavy Industries Holdings,$21.8 B,$-218 M,$22.2 B,$2.9 B
1303,#1304,MSCI,$1.6 B,$534 M,$3.9 B,$27.8 B
1304,#1305,Chiba Bank,$2 B,$459 M,$144.4 B,$3.4 B
1305,#1306,Jiangsu Zhangjiagang Rural Commercial Bank,$5.7 B,$1.4 B,$18 B,$1.4 B
1306,#1307,Verbund,$4.4 B,$621 M,$13.3 B,$15.7 B
1307,#1308,Keysight Technologies,$4.4 B,$670 M,$6.8 B,$18.1 B
1308,#1309,Ventas,$3.9 B,$433 M,$24.7 B,$12.1 B
1309,#1310,Samsung SDS,$9 B,$479 M,$7.4 B,$10.3 B
1310,#1311,Harbin Bank,$4.8 B,$518 M,$83.7 B,$1.9 B
1311,#1311,Hopson Development Holdings,$2.4 B,$1.2 B,$26.2 B,$2.5 B
1312,#1311,Mirae Asset Daewoo,$3.9 B,$477 M,$113.5 B,$3.2 B
1313,#1314,SYNNEX,$23.8 B,$531 M,$11.7 B,$4.5 B
1314,#1315,Westinghouse Air Brake Technologies,$8.2 B,$326 M,$18.9 B,$10.7 B
1315,#1316,Church & Dwight,$4.5 B,$670 M,$7.5 B,$17.2 B
1316,#1317,Luzhou Lao Jiao,$1.9 B,$694 M,$4.2 B,$16.4 B
1317,#1318,Alliant Energy,$3.6 B,$567 M,$17.2 B,$11.9 B
1318,#1318,Tenet Healthcare,$18.5 B,$-232 M,$23.4 B,$2.1 B
1319,#1320,Mizrahi Tefahot Bank,$3 B,$517 M,$79.1 B,$4.9 B
1320,#1320,Sunny Optical Technology Group,$5.5 B,$575 M,$4.4 B,$15.6 B
1321,#1322,Schaeffler,$16.1 B,$479 M,$15 B,$4.5 B
1322,#1323,China Shipbuilding Industry,$5.5 B,$73 M,$26.2 B,$13.5 B
1323,#1323,Smith & Nephew,$5.1 B,$600 M,$9.3 B,$17.2 B
1324,#1323,Tingyi Holding,$9 B,$482 M,$8.3 B,$10 B
1325,#1326,CJ Cheiljedang,$19.2 B,$131 M,$22.7 B,$3.6 B
1326,#1327,Cemex,$13.5 B,$88 M,$29.4 B,$3.2 B
1327,#1328,Woodside Petroleum,$4.9 B,$335 M,$29.4 B,$14 B
1328,#1329,Spotify Technology,$7.6 B,$-210 M,$5.7 B,$27.7 B
1329,#1330,Bandai Namco Holdings,$6.8 B,$576 M,$5.7 B,$11.2 B
1330,#1331,Doosan,$16.1 B,$-151 M,$25.2 B,$561 M
1331,#1331,Qantas Airways,$12.4 B,$582 M,$14.3 B,$3.7 B
1332,#1333,Quinenco,$8.2 B,$278 M,$63.4 B,$2.4 B
1333,#1334,Times Property Holdings,$6.2 B,$749 M,$23.1 B,$3.3 B
1334,#1335,East West Bancorp,$2.1 B,$655 M,$45.9 B,$5 B
1335,#1335,Starwood Property Trust,$1.3 B,$506 M,$78 B,$3.7 B
1336,#1337,Ooredoo Q.P.S.C,$8.2 B,$474 M,$24.2 B,$5.6 B
1337,#1338,People's United Financial,$2.4 B,$536 M,$60.4 B,$5.4 B
1338,#1339,RenaissanceRe Holdings,$4.2 B,$740 M,$25.6 B,$6.4 B
1339,#1340,Dentsu,$9.6 B,$-742 M,$34.9 B,$5.9 B
1340,#1341,Banco Btg Pactual,$3.3 B,$646 M,$40.3 B,$5.6 B
1341,#1341,Bombardier,$15.8 B,$-1.8 B,$25 B,$860 M
1342,#1343,Celanese,$6.1 B,$733 M,$9.5 B,$9.8 B
1343,#1344,Yunnan Baiyao Group,$4.4 B,$663 M,$7.3 B,$16.4 B
1344,#1345,Zhongyuan Bank,$4.8 B,$461 M,$101.9 B,$3.5 B
1345,#1346,AGL Energy,$9.2 B,$652 M,$10.2 B,$7 B
1346,#1347,Jacobs,$13 B,$-17 M,$12.2 B,$11 B
1347,#1348,Cathay Pacific Airways,$13.7 B,$216 M,$27.5 B,$4.7 B
1348,#1349,Bank of India,$7.1 B,$109 M,$89.2 B,$1.5 B
1349,#1349,Hunan Valin Steel,$14.5 B,$614 M,$12.2 B,$3.5 B
1350,#1351,Bausch Health Companies,$8.6 B,$-1.8 B,$33.9 B,$6.4 B
1351,#1351,Keppel,$5.8 B,$484 M,$22.8 B,$7.7 B
1352,#1353,Greentown China Holdings,$9 B,$178 M,$48.4 B,$2.3 B
1353,#1354,Cincinnati Financial,$6.8 B,$76 M,$23.3 B,$10.6 B
1354,#1355,IndusInd Bank,$5 B,$629 M,$40.6 B,$4.3 B
1355,#1356,BorgWarner,$10.2 B,$746 M,$9.7 B,$5.9 B
1356,#1356,Host Hotels & Resorts,$5.5 B,$920 M,$12.3 B,$8.7 B
1357,#1358,Canadian Tire,$11 B,$587 M,$15.1 B,$4.3 B
1358,#1359,Geberit,$3.1 B,$651 M,$3.8 B,$16.2 B
1359,#1360,Bank Pekao,$2.6 B,$564 M,$53.7 B,$3.3 B
1360,#1360,YPF,$13.9 B,$-706 M,$26.3 B,$2.6 B
1361,#1362,Weyerhaeuser,$6.6 B,$-76 M,$16.4 B,$16.3 B
1362,#1363,Covivio,$1.4 B,$836 M,$29 B,$5.5 B
1363,#1364,Old Dominion Freight Line,$4.1 B,$615 M,$3.9 B,$17.4 B
1364,#1364,Wuestenrot & Wuerttembergische,$7.1 B,$278 M,$84.7 B,$1.7 B
1365,#1366,Kobe Steel,$17.5 B,$-17 M,$22.2 B,$1.2 B
1366,#1367,SG Holdings,$10.8 B,$435 M,$7.2 B,$8.9 B
1367,#1368,Ronshine China Holdings,$7.5 B,$459 M,$30.8 B,$1.8 B
1368,#1369,Migdal Insurance,$8.6 B,$-176 M,$49.3 B,$680 M
1369,#1369,Packaging Corp of America,$6.9 B,$648 M,$7.2 B,$9.2 B
1370,#1371,B3,$1.5 B,$688 M,$10.3 B,$14.5 B
1371,#1372,Match Group,$2.1 B,$535 M,$2.4 B,$21.9 B
1372,#1372,Smurfit Kappa Group,$10.1 B,$532 M,$11.6 B,$7.5 B
1373,#1374,Red Eléctrica,$2.2 B,$804 M,$14.3 B,$9.5 B
1374,#1374,VEON,$8.8 B,$624 M,$16.7 B,$3 B
1375,#1376,Coca-Cola HBC,$7.9 B,$546 M,$9.2 B,$9.3 B
1376,#1376,Fastighets Balder,$804 M,$947 M,$16.9 B,$7.1 B
1377,#1378,Bank of Zhengzhou,$3.9 B,$482 M,$75.1 B,$2.7 B
1378,#1379,SLM,$2.6 B,$782 M,$31.8 B,$3.1 B
1379,#1380,Mebuki Financial Group,$2.2 B,$403 M,$165.5 B,$2.5 B
1380,#1380,Tech Data,$37 B,$375 M,$13.3 B,$5 B
1381,#1382,China Feihe,$2 B,$569 M,$2 B,$18.6 B
1382,#1383,Aramark,$16.2 B,$344 M,$14.3 B,$6.9 B
1383,#1383,Meritz Financial Group,$7.9 B,$329 M,$53.1 B,$1.1 B
1384,#1383,Suzano Papel e Celulose,$6.6 B,$-714 M,$24.3 B,$9.8 B
1385,#1386,Israel Discount Bank,$3.5 B,$478 M,$75.2 B,$3.8 B
1386,#1387,ResMed,$2.9 B,$513 M,$4.5 B,$22.5 B
1387,#1388,China Grand Automotive Services,$22.7 B,$201 M,$18.1 B,$4 B
1388,#1388,JG Summit Holdings,$5.6 B,$604 M,$18.4 B,$7.2 B
1389,#1390,Henry Schein,$10 B,$508 M,$7.2 B,$7.8 B
1390,#1391,Arkema,$9.8 B,$608 M,$12.3 B,$6.4 B
1391,#1392,Advance Auto Parts,$9.7 B,$487 M,$11.2 B,$8.4 B
1392,#1392,Norwegian Cruise Line Holdings,$6.5 B,$930 M,$16.7 B,$3.5 B
