,company,sector,industry,continent,country,market_value_2015,sales_2015,profits_2015,assets_2015,rank_2015,rank_2020,sales_2020,profits_2020,assets_2020,market_value_2020
525,Taisei,Industrials,Construction Services,Asia,Japan,5.2,15.1,0.3,14.5,1285,#894,$15.9 B,$1.1 B,$16.6 B,$6.7 B
526,OMRON,Information Technology,Electronics,Asia,Japan,9.2,7.6,0.4,6.1,1299,#1255,$6.2 B,$698 M,$7 B,$12 B
527,Hoya,Information Technology,Electronics,Asia,Japan,13.3,4.2,0.7,6.5,1302,#971,$5.3 B,$1.1 B,$7.5 B,$34.7 B
528,Nitto Denko,Materials,Diversified Chemicals,Asia,Japan,8.2,7.5,0.5,7.6,1312,#1769,$6.8 B,$434 M,$8.5 B,$7.8 B
529,Obayashi,Industrials,Construction Services,Asia,Japan,4.2,16.0,0.1,17.8,1327,#799,$18.9 B,$1.2 B,$20.8 B,$6.4 B
530,Medipal Holdings,Health Care,Pharmaceuticals,Asia,Japan,3.6,29.5,0.2,13.4,1332,#1413,$29.7 B,$319 M,$16 B,$4.1 B
531,Aozora Bank,Financials,Major Banks,Asia,Japan,4.7,1.2,0.5,46.2,1349,#1798,$1.5 B,$332 M,$50.8 B,$2.1 B
532,Kajima,Industrials,Construction Services,Asia,Japan,3.8,15.3,0.2,17.4,1358,#931,$18.4 B,$891 M,$20.2 B,$5.4 B
533,Unicharm,Consumer Staples,Household/Personal Care,Asia,Japan,10.7,5.8,0.4,5.7,1368,#1296,$6.6 B,$423 M,$8 B,$22 B
534,Toppan Printing,Consumer Discretionary,Printing & Publishing,Asia,Japan,4.9,15.6,0.2,16.1,1378,#988,$13.5 B,$966 M,$20.7 B,$5.2 B
535,Sekisui Chemical,Industrials,Construction Services,Asia,Japan,5.3,11.1,0.5,9.4,1380,#1541,$10.4 B,$542 M,$10.2 B,$5.9 B
536,Yamaguchi Financial,Financials,Regional Banks,Asia,Japan,2.3,1.6,0.3,88.2,1393,#1633,$1.5 B,$236 M,$95.3 B,$1.4 B
537,Nippon Express,Industrials,Trucking,Asia,Japan,5.0,17.3,0.3,12.8,1403,#1611,$19.1 B,$160 M,$14.1 B,$4.6 B
538,Shimizu,Industrials,Construction Services,Asia,Japan,4.1,15.2,0.1,14.5,1434,#942,$16.1 B,$1.1 B,$16.9 B,$6 B
539,Alfresa Holdings,Health Care,Pharmaceuticals,Asia,Japan,3.8,25.2,0.2,11.6,1434,#1582,$24.8 B,$323 M,$13.1 B,$4.3 B
540,Fukuoka Financial Group,Financials,Regional Banks,Asia,Japan,3.6,2.4,0.3,130.8,1437,#927,$2.5 B,$1.5 B,$235.4 B,$2.8 B
541,Renesas Electronics,Information Technology,Semiconductors,Asia,Japan,12.6,8.4,0.0,7.6,1447,#1660,$6.9 B,$141 M,$15.4 B,$9.3 B
542,Mitsui Chemicals,Materials,Specialized Chemicals,Asia,Japan,2.5,15.4,-0.2,13.7,1454,#1598,$12.5 B,$416 M,$13.7 B,$3.9 B
543,Olympus,Consumer Discretionary,Consumer Electronics,Asia,Japan,10.8,7.1,0.1,9.8,1470,#1117,$7.4 B,$557 M,$9.1 B,$20.7 B
544,Electric Power Development,Utilities,Electric Utilities,Asia,Japan,4.7,7.0,0.3,22.2,1477,#1508,$8.4 B,$389 M,$26 B,$3.7 B
545,Yamada Denki,Information Technology,Computer & Electronics Retail,Asia,Japan,2.9,18.7,0.0,11.8,1487,#1890,$14.9 B,$244 M,$11.3 B,$4.2 B
546,Terumo,Health Care,Medical Equipment & Supplies,Asia,Japan,8.1,4.6,0.6,8.2,1502,#1053,$5.7 B,$824 M,$10.9 B,$25.1 B
547,Hachijuni Bank,Financials,Regional Banks,Asia,Japan,2.9,1.7,0.3,71.5,1517,#1628,$1.4 B,$234 M,$99.1 B,$1.8 B
548,Suzuken,Health Care,Pharmaceuticals,Asia,Japan,3.5,20.0,0.2,10.3,1534,#1752,$20.3 B,$241 M,$11.6 B,$3.5 B
549,Hokuhoku Financial Group,Financials,Regional Banks,Asia,Japan,2.5,1.9,0.2,107.1,1556,#1584,$1.6 B,$221 M,$126.7 B,$1.1 B
550,Iyo Bank,Financials,Regional Banks,Asia,Japan,3.0,1.2,0.3,58.4,1560,#1715,$1.1 B,$176 M,$69.6 B,$1.7 B
551,TDK,Information Technology,Electronics,Asia,Japan,5.4,9.9,0.1,12.5,1591,#786,$12.6 B,$854 M,$18.9 B,$11.1 B
552,77 Bank,Financials,Regional Banks,Asia,Japan,1.7,1.1,0.1,76.6,1602,#1677,$908 M,$175 M,$79.3 B,$998 M
553,Chugoku Bank,Financials,Regional Banks,Asia,Japan,2.6,1.2,0.3,66.0,1605,#1674,$1.1 B,$141 M,$79.4 B,$1.8 B
554,North Pacific Bank,Financials,Regional Banks,Asia,Japan,1.7,1.9,0.2,74.6,1606,#1641,$1.2 B,$99 M,$92.5 B,$702 M
555,Bank of Kyoto,Financials,Regional Banks,Asia,Japan,3.1,1.1,0.2,73.6,1612,#1651,$1.2 B,$301 M,$88 B,$2.6 B
556,Hiroshima Bank,Financials,Regional Banks,Asia,Japan,2.6,1.3,0.2,69.4,1619,#1653,$1.1 B,$231 M,$86.9 B,$1.3 B
557,Gunma Bank,Financials,Regional Banks,Asia,Japan,2.5,1.3,0.2,67.8,1624,#1681,$1.3 B,$203 M,$77.5 B,$1.3 B
558,JTEKT,Consumer Discretionary,Auto & Truck Parts,Asia,Japan,5.1,12.5,0.2,10.6,1664,#1984,$13 B,$-61 M,$11.2 B,$2.6 B
559,Juroku Bank,Financials,Regional Banks,Asia,Japan,1.3,1.1,0.1,54.2,1672,#1772,$953 M,$108 M,$59.8 B,$663 M
560,Senshu Ikeda Holdings,Financials,Regional Banks,Asia,Japan,1.1,1.0,0.1,50.7,1687,#1838,$758 M,$54 M,$50.5 B,$441 M
561,Nanto Bank,Financials,Regional Banks,Asia,Japan,1.0,0.8,0.1,49.7,1692,#1810,$732 M,$86 M,$53.6 B,$690 M
562,Hyakugo Bank,Financials,Regional Banks,Asia,Japan,1.0,0.8,0.1,48.1,1702,#1766,$805 M,$111 M,$60.1 B,$743 M
563,Ogaki Kyoritsu Bank,Financials,Regional Banks,Asia,Japan,1.0,1.0,0.1,46.3,1713,#1798,$706 M,$74 M,$55 B,$861 M
564,Shiga Bank,Financials,Regional Banks,Asia,Japan,1.4,0.9,0.1,45.8,1719,#1782,$828 M,$142 M,$58 B,$1.2 B
565,Toho Bank,Financials,Regional Banks,Asia,Japan,0.9,0.6,0.1,45.8,1722,#1803,$580 M,$33 M,$54.1 B,$594 M
566,Orient,Financials,Consumer Financial Services,Asia,Japan,1.6,2.1,0.1,45.1,1738,#1828,$2.2 B,$211 M,$51.6 B,$2 B
567,Tokyo Electron,Information Technology,Semiconductors,Asia,Japan,11.0,5.4,-0.3,7.6,1772,#693,$10.4 B,$1.7 B,$11.8 B,$33.4 B
568,Hanwa,Materials,Diversified Metals & Mining,Asia,Japan,0.8,16.6,0.1,5.8,1783,#1794,$17.8 B,$115 M,$8.3 B,$658 M
569,San-In Godo Bank,Financials,Regional Banks,Asia,Japan,1.1,0.9,0.1,41.3,1784,#1793,$798 M,$116 M,$55.3 B,$826 M
570,Hyakujushi Bank,Financials,Regional Banks,Asia,Japan,1.1,0.7,0.1,41.0,1788,#1897,$628 M,$55 M,$46.2 B,$531 M
571,Keiyo Bank,Financials,Regional Banks,Asia,Japan,1.2,0.7,0.2,39.8,1791,#1888,$625 M,$71 M,$46.4 B,$643 M
572,Musashino Bank,Financials,Regional Banks,Asia,Japan,1.1,0.7,0.1,38.8,1799,#1929,$578 M,$125 M,$43 B,$426 M
573,Japan Exchange Group,Financials,Investment Services,Asia,Japan,6.6,1.2,0.3,15.6,1826,#962,$1.1 B,$438 M,$623.3 B,$10.1 B
574,Shimano,Consumer Discretionary,Recreational Products,Asia,Japan,9.3,2.8,0.4,3.0,1849,#1525,$3.2 B,$565 M,$4.9 B,$13.7 B
575,Japan Securities,Financials,Investment Services,Asia,Japan,0.6,0.2,0.1,35.1,1850,#1645,$267 M,$33 M,$90.9 B,$438 M
576,Shiseido,Consumer Staples,Household/Personal Care,Asia,Japan,6.9,7.5,0.0,7.0,1868,#888,$10.4 B,$675 M,$11.2 B,$23.8 B
577,Hokkoku Bank,Financials,Regional Banks,Asia,Japan,1.1,0.6,0.1,32.8,1871,#1910,$650 M,$76 M,$44.6 B,$816 M
578,Tosoh,Materials,Diversified Chemicals,Asia,Japan,2.3,7.7,0.3,7.1,1901,#1775,$7.4 B,$624 M,$8.2 B,$4 B
579,SBI Holdings,Financials,Investment Services,Asia,Japan,2.6,2.3,0.2,30.4,1905,#1750,$3.4 B,$345 M,$51.1 B,$4.4 B
580,Makita,Consumer Staples,Household/Personal Care,Asia,Japan,7.5,3.8,0.4,4.9,1951,#1952,$4.6 B,$469 M,$6.5 B,$8.9 B
581,Nippon Steel Trading,Materials,Diversified Metals & Mining,Asia,Japan,1.0,12.1,0.2,6.3,1953,#1685,$23.2 B,$204 M,$8.5 B,$1 B
582,Meiji Holdings,Consumer Staples,Food Processing,Asia,Japan,4.5,11.6,0.2,7.8,1991,#1212,$11.5 B,$481 M,$9.5 B,$10.1 B
583,Arab Bank,Financials,Regional Banks,Asia,Jordan,7.0,2.2,0.5,46.4,1092,#1466,$2.3 B,$597 M,$37.1 B,$4.3 B
584,Halyk Bank,Financials,Regional Banks,Asia,Kazakhstan,2.2,1.7,0.5,16.3,1681,#1465,$2.6 B,$873 M,$24.1 B,$2.6 B
585,National Bank of Kuwait,Financials,Regional Banks,Asia,Kuwait,16.7,2.5,0.8,65.9,717,#677,$4.6 B,$1.3 B,$96.5 B,$16.3 B
586,Kuwait Finance House,Financials,Regional Banks,Asia,Kuwait,12.6,2.8,0.4,54.8,966,#801,$4 B,$826 M,$63.9 B,$14.6 B
587,Zain,Telecommunication Services,Telecommunications services,Asia,Kuwait,9.7,4.4,0.8,11.0,1219,#1408,$5.5 B,$714 M,$15.6 B,$7.4 B
588,Bank Audi,Financials,Regional Banks,Asia,Lebanon,2.2,2.3,0.3,36.2,1636,#1502,$3.7 B,$493 M,$47.5 B,$764 M
589,Blom Bank,Financials,Regional Banks,Asia,Lebanon,1.9,1.6,0.3,26.2,1661,#1559,$2.7 B,$502 M,$38.5 B,$670 M
590,ArcelorMittal,Materials,Iron & Steel,Europe,Luxembourg,26.8,79.4,-2.5,112.3,491,#650,$70.5 B,$-2.5 B,$87.9 B,$11.1 B
591,Tenaris,Energy,Oil Services & Equipment,Europe,Luxembourg,26.2,10.6,1.6,15.9,572,#1810,$7.2 B,$-168 M,$14.1 B,$8.3 B
592,RTL Group,Consumer Discretionary,Broadcasting & Cable,Europe,Luxembourg,17.7,7.8,1.2,10.4,805,#1599,$7.7 B,$788 M,$9.6 B,$5.1 B
593,Ternium,Materials,Iron & Steel,Europe,Luxembourg,5.9,8.5,0.5,10.5,1345,#1530,$10.3 B,$571 M,$12.9 B,$2.7 B
594,Maybank,Financials,Regional Banks,Asia,Malaysia,26.3,9.7,2.1,171.1,326,#349,$10.5 B,$2 B,$204 B,$19.8 B
595,Tenaga Nasional,Utilities,Electric Utilities,Asia,Malaysia,20.7,12.0,1.6,31.3,443,#540,$12.3 B,$1.1 B,$43.7 B,$16.2 B
596,CIMB Group Holdings,Financials,Regional Banks,Asia,Malaysia,18.1,6.8,1.4,113.2,460,#689,$7.4 B,$1.1 B,$140.1 B,$8 B
597,Public Bank,Financials,Regional Banks,Asia,Malaysia,20.6,4.6,1.3,93.3,585,#664,$5 B,$1.3 B,$105.8 B,$14.8 B
598,Axiata Group,Information Technology,Communications Equipment,Asia,Malaysia,17.7,5.8,0.8,13.3,861,#1790,$5.9 B,$330 M,$16.3 B,$8.4 B
599,Genting,Consumer Discretionary,Casinos & Gaming,Asia,Malaysia,11.4,5.6,0.6,21.8,915,#1685,$5.2 B,$482 M,$25.1 B,$3.7 B
600,Petronas Chemicals,Materials,Specialized Chemicals,Asia,Malaysia,16.7,4.8,1.0,8.5,1062,#1547,$4 B,$680 M,$9.8 B,$10.4 B
601,AmBank Group,Financials,Regional Banks,Asia,Malaysia,6.6,2.6,0.5,40.0,1121,#1807,$2 B,$375 M,$38.6 B,$2.1 B
602,Hong Leong Financial,Financials,Investment Services,Asia,Malaysia,5.1,2.5,0.5,56.0,1246,#1469,$2.2 B,$465 M,$59.8 B,$3.5 B
603,Femsa,Consumer Staples,Beverages,North America,Mexico,33.3,20.0,1.2,27.4,373,#431,$26.3 B,$1 B,$33.8 B,$23.4 B
604,Grupo Mexico,Materials,Diversified Metals & Mining,North America,Mexico,24.4,9.4,1.8,20.2,529,#549,$10.7 B,$2.2 B,$29.1 B,$16.8 B
605,Grupo Inbursa,Financials,Regional Banks,North America,Mexico,16.9,4.4,1.3,27.5,744,#1554,$3.8 B,$671 M,$25.7 B,$4 B
606,Cemex,Materials,Construction Materials,North America,Mexico,14.5,15.3,-0.8,37.9,788,#1327,$13.5 B,$88 M,$29.4 B,$3.2 B
607,ALFA,Industrials,Conglomerates,North America,Mexico,13.2,15.9,0.5,12.6,826,#1296,$17.2 B,$412 M,$18.2 B,$2.1 B
608,Grupo Bimbo,Consumer Staples,Food Processing,North America,Mexico,12.8,13.8,0.3,10.3,1027,#1435,$15.2 B,$328 M,$14.8 B,$6.8 B
609,El Puerto de Liverpool,Consumer Discretionary,Department Stores,North America,Mexico,14.3,5.8,0.6,7.4,1147,#1766,$7.4 B,$629 M,$8.5 B,$3.4 B
610,Arca Continental,Consumer Staples,Beverages,North America,Mexico,9.4,4.7,0.5,5.1,1513,#1473,$8.5 B,$541 M,$12.7 B,$6.9 B
611,Grupo Elektra,Information Technology,Computer & Electronics Retail,North America,Mexico,7.3,5.6,0.1,13.4,1647,#1022,$6.2 B,$839 M,$18.4 B,$11.3 B
612,Attijariwafa Bank,Financials,Regional Banks,Africa,Morocco,7.9,2.8,0.5,44.9,1065,#1138,$4.3 B,$605 M,$55.7 B,$7.1 B
613,Banque Centrale Populaire,Financials,Regional Banks,Africa,Morocco,4.1,2.2,0.2,35.6,1842,#1813,$2.3 B,$347 M,$45.1 B,$4.2 B
614,Royal Dutch Shell,Energy,Oil & Gas Operations,Europe,Netherlands,234.1,451.4,16.4,357.5,11,#21,$311.6 B,$9.9 B,$394 B,$126.5 B
615,ING Group,Financials,Life & Health Insurance,Europe,Netherlands,56.1,34.5,4.4,1488.7,97,#194,$20.5 B,$5.4 B,"$1,001 B",$21.4 B
616,Unilever,Consumer Staples,Food Processing,Europe,Netherlands,124.5,66.1,6.4,62.7,110,#110,$58.2 B,$6.3 B,$72.7 B,$130.6 B
617,LyondellBasell Industries,Materials,Diversified Chemicals,Europe,Netherlands,48.2,44.1,3.8,27.3,226,#336,$34.7 B,$3.4 B,$30.4 B,$19.3 B
618,Aegon,Financials,Diversified Insurance,Europe,Netherlands,19.8,40.2,1.1,473.0,234,#523,$29.5 B,$1.4 B,$470.9 B,$5.3 B
619,Philips,Industrials,Conglomerates,Europe,Netherlands,32.2,31.0,1.6,36.6,296,#385,$21.8 B,$1.3 B,$30.3 B,$38.8 B
620,Ageas,Financials,Diversified Insurance,Europe,Netherlands,10.2,15.8,0.8,129.0,470,#618,$12.4 B,$1.1 B,$122 B,$6.9 B
621,Akzo Nobel,Materials,Diversified Chemicals,Europe,Netherlands,19.8,19.4,1.0,22.1,477,#920,$10.2 B,$653 M,$14.6 B,$14.9 B
622,ASML Holding,Information Technology,Semiconductors,Europe,Netherlands,41.2,7.0,1.6,16.8,591,#361,$13.4 B,$2.9 B,$25.5 B,$124.5 B
623,KPN,Telecommunication Services,Telecommunications services,Europe,Netherlands,15.2,13.2,-0.3,35.6,811,#1262,$6.2 B,$687 M,$13.8 B,$9.7 B
624,DSM,Materials,Diversified Chemicals,Europe,Netherlands,12.1,12.0,0.4,16.6,908,#787,$10.1 B,$848 M,$15.1 B,$21 B
625,HAL Trust,Financials,Investment Services,Europe,Netherlands,9.8,5.5,0.6,9.8,1214,#1050,$5.8 B,$745 M,$22.2 B,$10.7 B
626,NXP Semiconductors,Information Technology,Semiconductors,Europe,Netherlands,15.1,4.8,0.3,6.4,1474,#1025,$8.8 B,$243 M,$19.5 B,$27.8 B
627,Wolters Kluwer,Consumer Discretionary,Printing & Publishing,Europe,Netherlands,8.4,4.7,0.5,9.5,1507,#1202,$5.2 B,$749 M,$9.9 B,$19.6 B
628,Vopak,Industrials,Other Transportation,Europe,Netherlands,7.0,1.7,0.4,6.6,1957,#1837,$1.4 B,$639 M,$7.3 B,$7.4 B
629,Zenith Bank,Financials,Regional Banks,Africa,Nigeria,4.0,2.1,0.6,19.7,1478,#1842,$1.8 B,$576 M,$18.7 B,$1.2 B
630,DNB,Financials,Regional Banks,Europe,Norway,28.6,16.8,3.0,393.9,197,#333,$9.7 B,$2.8 B,$317.9 B,$19.1 B
631,Telenor,Telecommunication Services,Telecommunications services,Europe,Norway,33.1,17.7,2.2,30.6,330,#691,$13.3 B,$528 M,$26.4 B,$21.9 B
632,Yara International,Materials,Specialized Chemicals,Europe,Norway,12.2,14.4,1.0,14.7,668,#972,$12.9 B,$600 M,$16.7 B,$9.3 B
633,Storebrand,Financials,Diversified Insurance,Europe,Norway,2.6,9.0,0.3,74.2,1056,#1228,$9.6 B,$235 M,$72 B,$2.3 B
634,Norsk Hydro,Materials,Aluminum,Europe,Norway,10.2,11.0,-0.2,19.0,1061,#1459,$17 B,$-206 M,$18.7 B,$5.2 B
635,Orkla,Industrials,Conglomerates,Europe,Norway,8.7,5.6,0.1,8.6,1892,#1965,$5 B,$436 M,$6.5 B,$9.1 B
636,Bank Muscat,Financials,Regional Banks,Asia,Oman,4.0,1.1,0.4,22.0,1629,#1712,$1.6 B,$449 M,$31.9 B,$2.7 B
637,Credicorp,Financials,Regional Banks,South America,Peru,11.0,4.5,0.6,41.0,900,#717,$5.8 B,$1.3 B,$56.9 B,$11.9 B
638,SM Investments,Consumer Discretionary,Department Stores,Asia,Philippines,12.8,5.8,0.6,14.3,963,#707,$9.2 B,$861 M,$22.6 B,$20.2 B
639,Top Frontier Investment Holdings,,,Asia,Philippines,0.7,16.7,0.0,26.9,1191,#1170,$19.5 B,$207 M,$36.2 B,$930 M
640,Metropolitan Bank & Trust,Financials,Regional Banks,Asia,Philippines,4.9,1.9,0.5,31.1,1381,#1453,$2.8 B,$534 M,$46.7 B,$3.5 B
641,PKO Bank Polski,Financials,Regional Banks,Europe,Poland,17.4,4.9,1.0,66.0,623,#958,$4.8 B,$1.1 B,$91.9 B,$6.6 B
642,Grupa PZU,Financials,Property & Casualty Insurance,Europe,Poland,12.3,6.0,1.0,19.6,797,#731,$10.7 B,$858 M,$90.2 B,$6.3 B
643,Pgnig Group,Energy,Oil & Gas Operations,Europe,Poland,8.6,10.2,0.6,15.6,897,#1698,$10.8 B,$357 M,$15.6 B,$5.2 B
644,PKN Orlen,Energy,Oil & Gas Operations,Europe,Poland,6.0,36.0,0.1,17.1,1091,#775,$29 B,$1.2 B,$18.8 B,$6.4 B
645,Galp Energia,Energy,Oil & Gas Operations,Europe,Portugal,14.3,26.0,0.3,18.9,844,#1194,$18.6 B,$157 M,$15 B,$9.6 B
646,Jeronimo Martins,Consumer Staples,Food Retail,Europe,Portugal,10.6,15.7,0.5,7.0,978,#1086,$20.9 B,$436 M,$10.9 B,$10.6 B
647,Banco Comercial Portugues,Financials,Regional Banks,Europe,Portugal,6.3,5.0,-1.0,113.0,1250,#1642,$3.6 B,$313 M,$92.1 B,$1.7 B
648,Popular,Financials,Regional Banks,North America,Puerto Rico,3.2,2.5,0.6,35.7,1300,#1279,$2.9 B,$671 M,$52.1 B,$3.4 B
649,Qatar National Bank,Financials,Regional Banks,Asia,Qatar,37.1,5.4,2.6,121.8,407,#190,$15.9 B,$3.9 B,$264.9 B,$43.7 B
650,Industries Qatar,Materials,Specialized Chemicals,Asia,Qatar,31.3,1.6,2.2,9.6,901,#1579,$1.4 B,$578 M,$9.2 B,$11.7 B
651,Masraf Al Rayan,Financials,Regional Banks,Asia,Qatar,8.5,0.6,0.5,18.3,1284,#1258,$1 B,$599 M,$30 B,$7.9 B
652,Commercial Bank of Qatar,Financials,Regional Banks,Asia,Qatar,5.3,1.4,0.4,31.1,1399,#1575,$2.3 B,$481 M,$40.2 B,$4.4 B
653,Qatar Islamic Bank,Financials,Regional Banks,Asia,Qatar,4.9,0.8,0.4,21.2,1699,#973,$1.5 B,$784 M,$45.6 B,$10.1 B
654,Gazprom,Energy,Oil & Gas Operations,Asia,Russia,88.8,164.6,39.0,397.2,21,#32,$122.6 B,$22.7 B,$331.7 B,$60.8 B
655,Rosneft,Energy,Oil & Gas Operations,Asia,Russia,70.0,142.6,12.8,229.4,34,#53,$126.9 B,$10.9 B,$208.5 B,$48.1 B
656,Sberbank,Financials,Regional Banks,Asia,Russia,51.5,56.5,11.4,554.2,58,#402,$47.6 B,$10.6 B,$410 M,$59.9 B
657,LukOil,Energy,Oil & Gas Operations,Asia,Russia,47.7,119.2,7.8,109.4,83,#99,$116.3 B,$9.9 B,$95.7 B,$41.2 B
658,Surgutneftegas,Energy,Oil & Gas Operations,Asia,Russia,26.5,26.9,5.8,68.8,198,#251,$24.7 B,$6.8 B,$80.8 B,$17.9 B
659,VTB Bank,Financials,Regional Banks,Asia,Russia,14.6,22.8,2.4,262.0,263,#452,$23 B,$2.9 B,$249.8 B,$6.1 B
660,Transneft,Energy,Oil Services & Equipment,Asia,Russia,15.6,23.7,5.3,65.9,279,#405,$16.4 B,$2.8 B,$54.3 B,$13.4 B
661,Sistema,Telecommunication Services,Telecommunications services,Asia,Russia,9.8,35.5,2.3,44.4,384,#1412,$10.2 B,$442 M,$20.3 B,$1.9 B
662,Novatek,Energy,Oil & Gas Operations,Asia,Russia,30.5,9.4,3.4,18.2,481,#316,$13.2 B,$13.4 B,$32.5 B,$42.6 B
663,Norilsk Nickel,Materials,Diversified Metals & Mining,Asia,Russia,26.9,11.7,1.2,20.2,515,#424,$13.6 B,$5.8 B,$19.4 B,$43.8 B
664,Tatneft,Energy,Oil & Gas Operations,Asia,Russia,13.0,14.3,2.4,20.4,519,#539,$14.8 B,$3 B,$19.9 B,$16.7 B
665,Magnit,Consumer Staples,Food Retail,Asia,Russia,22.4,18.2,1.1,7.0,670,#1537,$21.2 B,$148 M,$15.3 B,$5.1 B
666,Alrosa,Materials,Diversified Metals & Mining,Asia,Russia,7.8,5.0,1.0,10.4,1182,#1750,$3.6 B,$959 M,$6.9 B,$6.2 B
667,Novolipetsk Steel,Materials,Iron & Steel,Asia,Russia,7.5,10.9,0.2,16.3,1248,#970,$10.1 B,$1.2 B,$9.7 B,$10.4 B
668,Severstal,Materials,Iron & Steel,Asia,Russia,6.3,13.3,0.1,14.5,1309,#1051,$7.9 B,$1.4 B,$7 B,$10.1 B
669,Inter Rao,Utilities,Electric Utilities,Asia,Russia,2.4,20.8,-0.7,15.6,1324,#1095,$16 B,$1.3 B,$12.4 B,$5 B
670,X5 Retail Group,Consumer Staples,Food Retail,Asia,Russia,4.5,16.8,0.3,8.6,1491,#1138,$26.8 B,$302 M,$17.3 B,$8 B
671,Magnitogorsk Iron & Steel,Materials,Iron & Steel,Asia,Russia,1.8,8.4,-0.4,14.4,1691,#1536,$7.4 B,$756 M,$8.4 B,$6.1 B
672,Saudi Basic Industries,Materials,Diversified Chemicals,Asia,Saudi Arabia,94.4,50.4,6.7,90.4,98,#212,$37.3 B,$1.5 B,$83.4 B,$59.8 B
673,Saudi Telecom,Telecommunication Services,Telecommunications services,Asia,Saudi Arabia,35.6,12.2,2.6,23.3,393,#335,$14.6 B,$2.9 B,$32.1 B,$48.3 B
674,Saudi Electricity,Utilities,Electric Utilities,Asia,Saudi Arabia,17.5,9.5,0.8,73.8,491,#590,$17.3 B,$370 M,$127.9 B,$18.9 B
675,Al Rajhi Bank,Financials,Regional Banks,Asia,Saudi Arabia,30.1,4.0,2.0,74.6,567,#473,$5.3 B,$2.8 B,$102.4 B,$38.1 B
676,Samba Financial Group,Financials,Regional Banks,Asia,Saudi Arabia,13.7,2.0,1.2,54.7,721,#780,$2.8 B,$1.1 B,$68.1 B,$12.4 B
677,Riyad Bank,Financials,Regional Banks,Asia,Saudi Arabia,13.9,2.2,1.1,54.7,735,#709,$3.8 B,$1.5 B,$70.9 B,$13.6 B
678,Saudi British Bank,Financials,Regional Banks,Asia,Saudi Arabia,12.6,1.7,1.0,47.3,788,#814,$2.9 B,$803 M,$70.8 B,$13.5 B
679,Banque Saudi Fransi,Financials,Regional Banks,Asia,Saudi Arabia,9.7,1.6,0.6,45.3,931,#934,$2.5 B,$886 M,$47.5 B,$9.9 B
680,Arab National Bank,Financials,Regional Banks,Asia,Saudi Arabia,8.0,1.6,0.7,36.8,1001,#1013,$2.3 B,$844 M,$48.9 B,$8.2 B
681,Saudi Arabian Mining,Materials,Diversified Metals & Mining,Asia,Saudi Arabia,9.0,1.5,0.4,17.1,1303,#1508,$4.7 B,$-197 M,$26 B,$12.2 B
682,Almarai,Consumer Staples,Food Processing,Asia,Saudi Arabia,10.4,3.0,0.4,6.2,1667,#1618,$3.9 B,$496 M,$8.7 B,$13.1 B
683,Alinma Bank,Financials,Regional Banks,Asia,Saudi Arabia,7.5,0.7,0.3,16.8,1719,#1124,$1.8 B,$695 M,$35.1 B,$8.4 B
684,Oversea-Chinese Banking,Financials,Regional Banks,Asia,Singapore,26.1,11.1,2.2,268.1,298,#167,$24.9 B,$3.6 B,$365.7 B,$28.3 B
685,Wilmar International,Consumer Staples,Food Processing,Asia,Singapore,17.7,44.1,1.3,46.6,316,#372,$42.6 B,$1.3 B,$47 B,$16.1 B
686,SingTel,Telecommunication Services,Telecommunications services,Asia,Singapore,46.2,13.7,2.9,30.9,324,#498,$12.5 B,$933 M,$36.4 B,$32.7 B
687,United Overseas Bank,Financials,Regional Banks,Asia,Singapore,27.2,7.0,2.4,225.1,367,#281,$12 B,$3.2 B,$300.8 B,$23.9 B
688,Singapore Airlines,Industrials,Airline,Asia,Singapore,9.8,12.2,0.3,17.9,968,#1155,$12.4 B,$530 M,$24.3 B,$5.1 B
689,CapitaLand,Financials,Real Estate,Asia,Singapore,9.8,3.3,0.7,28.6,980,#761,$5 B,$1.6 B,$61.2 B,$10.8 B
690,ST Engineering,Industrials,Aerospace & Defense,Asia,Singapore,9.5,5.3,0.5,6.9,1428,#1968,$5.8 B,$424 M,$7.3 B,$7.6 B
691,Olam International,Consumer Staples,Food Processing,Asia,Singapore,4.2,16.0,0.3,12.3,1452,#1246,$24.2 B,$373 M,$19.1 B,$3.4 B
692,China Aviation Oil,Industrials,Trading Companies,Asia,Singapore,0.6,15.6,0.1,1.6,1797,#1748,$20.4 B,$100 M,$1.9 B,$629 M
693,Standard Bank Group,Financials,Major Banks,Africa,South Africa,21.4,16.4,1.7,161.4,287,#544,$9.3 B,$1.8 B,$162.7 B,$8.9 B
694,Sasol,Materials,Diversified Chemicals,Africa,South Africa,37.0,20.1,2.8,24.5,321,#1264,$13.8 B,$-442 M,$34.8 B,$2.9 B
695,MTN Group,Telecommunication Services,Telecommunications services,Africa,South Africa,38.1,14.1,2.7,21.7,378,#1185,$10.5 B,$620 M,$21.6 B,$4.8 B
696,FirstRand,Financials,Major Banks,Africa,South Africa,18.8,6.3,1.7,85.4,475,#536,$7.5 B,$2 B,$122.7 B,$12.4 B
697,Steinhoff International,Consumer Discretionary,Furniture & Fixtures,Africa,South Africa,10.5,13.0,0.9,18.5,672,#1668,$12 B,$-1.3 B,$16.9 B,$251 M
698,Sanlam,Financials,Life & Health Insurance,Africa,South Africa,12.1,5.7,0.8,53.3,688,#890,$10.8 B,$495 M,$63.6 B,$6.7 B
